date,division,store_id,product_category,sku_id,sku_name,sales_units,in_stock,oos_reason,basket_driver,cold_chain,oos_flag
2025-09-01,Div 1,2,Produce,SKU-APP-002,Apples Honeycrisp 2lb,26,1,,True,False,0
2025-09-01,Div 1,2,Produce,SKU-BER-001,Berries Strawberries 1lb,19,1,,False,True,0
2025-09-01,Div 1,2,Produce,SKU-LEF-001,Leafy Greens Spinach 10oz,17,1,,False,True,0
2025-09-01,Div 1,2,Seasonal,SKU-PUM-001,Pumpkin Carving Medium,33,1,,False,False,0
2025-09-01,Div 1,2,Seasonal,SKU-WML-001,Watermelon Seedless Whole,0,0,Warehouse stockout,False,False,1
2025-09-01,Div 1,2,Produce,SKU-BAN-001,Bananas Cavendish 1lb,43,1,,True,False,0
2025-09-01,Div 1,2,Produce,SKU-ORG-001,Oranges Navel 4lb,20,1,,False,False,0
2025-09-01,Div 1,3,Produce,SKU-APP-002,Apples Honeycrisp 2lb,23,1,,True,False,0
2025-09-01,Div 1,3,Produce,SKU-BER-001,Berries Strawberries 1lb,12,1,,False,True,0
2025-09-01,Div 1,3,Produce,SKU-LEF-001,Leafy Greens Spinach 10oz,20,1,,False,True,0
2025-09-01,Div 1,3,Seasonal,SKU-PUM-001,Pumpkin Carving Medium,32,1,,False,False,0
2025-09-01,Div 1,3,Seasonal,SKU-WML-001,Watermelon Seedless Whole,26,1,,False,False,0
2025-09-01,Div 1,3,Produce,SKU-BAN-001,Bananas Cavendish 1lb,37,1,,True,False,0
2025-09-01,Div 1,3,Produce,SKU-ORG-001,Oranges Navel 4lb,23,1,,False,False,0
2025-09-01,Div 1,5,Produce,SKU-APP-002,Apples Honeycrisp 2lb,25,1,,True,False,0
2025-09-01,Div 1,5,Produce,SKU-BER-001,Berries Strawberries 1lb,18,1,,False,True,0
2025-09-01,Div 1,5,Produce,SKU-LEF-001,Leafy Greens Spinach 10oz,16,1,,False,True,0
2025-09-01,Div 1,5,Seasonal,SKU-PUM-001,Pumpkin Carving Medium,39,1,,False,False,0
2025-09-01,Div 1,5,Seasonal,SKU-WML-001,Watermelon Seedless Whole,25,1,,False,False,0
2025-09-01,Div 1,5,Produce,SKU-BAN-001,Bananas Cavendish 1lb,39,1,,True,False,0
2025-09-01,Div 1,5,Produce,SKU-ORG-001,Oranges Navel 4lb,21,1,,False,False,0
2025-09-01,Div 1,7,Produce,SKU-APP-002,Apples Honeycrisp 2lb,25,1,,True,False,0
2025-09-01,Div 1,7,Produce,SKU-BER-001,Berries Strawberries 1lb,28,1,,False,True,0
2025-09-01,Div 1,7,Produce,SKU-LEF-001,Leafy Greens Spinach 10oz,20,1,,False,True,0
2025-09-01,Div 1,7,Seasonal,SKU-PUM-001,Pumpkin Carving Medium,36,1,,False,False,0
2025-09-01,Div 1,7,Seasonal,SKU-WML-001,Watermelon Seedless Whole,33,1,,False,False,0
2025-09-01,Div 1,7,Produce,SKU-BAN-001,Bananas Cavendish 1lb,35,1,,True,False,0
2025-09-01,Div 1,7,Produce,SKU-ORG-001,Oranges Navel 4lb,17,1,,False,False,0
2025-09-01,Div 1,8,Produce,SKU-APP-002,Apples Honeycrisp 2lb,21,1,,True,False,0
2025-09-01,Div 1,8,Produce,SKU-BER-001,Berries Strawberries 1lb,17,1,,False,True,0
2025-09-01,Div 1,8,Produce,SKU-LEF-001,Leafy Greens Spinach 10oz,19,1,,False,True,0
2025-09-01,Div 1,8,Seasonal,SKU-PUM-001,Pumpkin Carving Medium,39,1,,False,False,0
2025-09-01,Div 1,8,Seasonal,SKU-WML-001,Watermelon Seedless Whole,29,1,,False,False,0
