```csv
  timestamp,division,store_id,sku_id,attempt_type,reason_code,user_session
  2025-09-18 10:15:00,Div 1,6,SKU-ORG-001,search_fail,OOS,USR12345
  2025-09-18 10:20:00,Div 1,6,SKU-ORG-001,add_to_cart_fail,OOS,USR67890
  2025-09-17 14:30:00,Div 1,6,SKU-ORG-001,search_fail,OOS,USR23456
  2025-09-16 09:00:00,Div 1,6,SKU-ORG-001,search_fail,OOS,USR78901
  2025-09-15 12:45:00,Div 1,6,SKU-ORG-001,add_to_cart_fail,OOS,USR34567
  2025-09-14 11:20:00,Div 1,6,SKU-ORG-001,search_fail,OOS,USR89012
  2025-09-13 16:10:00,Div 1,6,SKU-ORG-001,add_to_cart_fail,OOS,USR45678
  2025-09-12 08:30:00,Div 1,6,SKU-ORG-001,search_fail,LowStock,USR56789
  2025-09-15 13:00:00,Div 1,32,SKU-BAN-001,search_fail,OOS,USR90123
  2025-09-15 12:50:00,Div 1,32,SKU-BAN-001,add_to_cart_fail,OOS,USR12345
  2025-09-14 15:30:00,Div 1,32,SKU-BAN-001,search_fail,OOS,USR67890
  2025-09-13 09:10:00,Div 1,32,SKU-BAN-001,add_to_cart_fail,OOS,USR23456
  2025-09-12 17:00:00,Div 1,32,SKU-BAN-001,search_fail,OOS,USR78901
  2025-09-11 14:20:00,Div 1,32,SKU-BAN-001,order_fail,OOS,USR34567
  2025-09-10 11:30:00,Div 1,32,SKU-BAN-001,search_fail,LowStock,USR89012
  2025-09-18 09:45:00,Div 1,15,SKU-APP-002,search_fail,OOS,USR45678
  2025-09-17 16:00:00,Div 1,15,SKU-APP-002,add_to_cart_fail,OOS,USR56789
  2025-09-16 12:15:00,Div 1,15,SKU-APP-002,search_fail,OOS,USR90123
  2025-09-15 10:30:00,Div 1,15,SKU-APP-002,add_to_cart_fail,LowStock,USR12345
  2025-09-14 08:20:00,Div 1,15,SKU-APP-002,search_fail,OOS,USR67890
  2025-09-18 11:00:00,Div 1,3,SKU-BER-001,search_fail,OOS,USR23456
  2025-09-17 13:45:00,Div 1,3,SKU-BER-001,add_to_cart_fail,OOS,USR78901
  2025-09-16 10:15:00,Div 1,3,SKU-BER-001,search_fail,OOS,USR34567
  2025-09-15 15:30:00,Div 1,3,SKU-BER-001,order_fail,OOS,USR89012
  2025-09-14 12:00:00,Div 1,3,SKU-BER-001,search_fail,LowStock,USR45678
  2025-09-18 14:20:00,Div 1,31,SKU-LEF-001,search_fail,OOS,USR56789
